id,description
72,"Klej do papieru, uniwersalny, w tubce, klejacy szybko, ekonomiczny, nie zawiera rozpuszczalników, tubka poj. 50 ml"
73,"Klej do klejenia papieru, kartonu, fotografii,  plakatów, reprodukcji, filcu, materialów tekstylnych, korka, styropianu ze styropianem oraz styropianu z drewnem, tektury, plyt wiórowych, szkla, betonu oraz metali, wiaze bardzo silnie i sztywno, jednak nie natychmiast, dlugo pozostaje elastyczny, co pozwala wprowadzic korekty i przesuniecia klejonych prac, po wyschnieciu zabrudzone powierzchnie mozna zwalkowac (tworzy sie gumowata powloczka), nie przechodzi na druga strone, odporny na wilgoc, czas schniecia wynosi ok. 1 godziny, a calkowite zwiazanie trwa do 24h, nie przechodzi na druga strone i jest odporny nawilgoc, tubka poj. 50 ml"
74,"Klej introligatorski CR bezbarwny do klejenia papieru, drewna, korka, rozcienczany i zmywany woda, op. 250g"
75,"Klej introligatorski CR bezbarwny, do klejenia papieru, drewna, korka,rozcienczany i zmywany woda, op. 6kg"
76,"Klej do papieru, uniwersalny, klejacy szybko, ekonomiczny, nie zawiera rozpuszczalników, zawierajacy specjalny aplikator, poj. 40 ml"
77,"Klej w sztyfcie profice 21g, do kartonu, papieru i zdjec, bezzapachowy, nie wysycha dzieki hermetycznemu zamykaniu, nie zawiera rozpuszczalników,"
78,"Klip biurowy, podkladka do pisania z zamknieciem, wykonany ze sztywnej tektury, oklejonej obustronnie folia PCV, sprezysty, metalowy mechanizm do utrzymywania kartek papieru nieruchomo na klipie, wygodny przycisk zwalniajacy dokumenty, format A4"
79,"Klips metalowy, odporny na odksztalcenia, galwanizowany, o wymiarze 15 mm*, op. 12 szt."
80,"Klips metalowy, odporny na odksztalcenia, galwanizowany, o wymiarze 19 mm*, op. 12 szt."
81,"Klips metalowy, odporny na odksztalcenia, galwanizowany, o wymiarze 25 mm*, op. 12 szt."
82,"Klips metalowy, odporny na odksztalcenia, galwanizowany, o wymiarze 32 mm*, op. 12 szt."
83,"Klips metalowy, odporny na odksztalcenia, galwanizowany, o wymiarach 41 mm*, op. 12 szt."
84,"Klips metalowy, odporny na odksztalcenia, galwanizowany, o wymiarach 51 mm*, op. 12 szt."
85,"Kolonotatnik w kratke, twarda laminowana oprawa, podwójna spirala, dziurki do segregatora, format A4,96 kartek"
86,"Kolonotatnik w kratke, twarda laminowana oprawa, podwójna spirala, dziurki do segregatora, format A5, 96 kartek"
87,"Komplet do tablic suchoscieralnych 4 markery z okragla koncówka, odporne na wysychanie, tusz latwy do usuniecia nie pozostawiajacy sladów na tablicy, intensywne kolory, dlugosc linii pisania 1600 m wraz z gabka,"
88,"Koperta biala na CD z okienkiem o wymiarach 124 x 124 mm, biala, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, z okienkiem"
89,"Koperta B4 o wymiarach 250 x 353 mm, braz, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier natronowy, qramatura 100 q/m2"
90,"Koperta B4 o wymiarach 250 x 353 mm, biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 100 g/m2"
91,"Koperta B4 o wymiarach 250 x 353 mm braz, z rozszerzanymi bokami, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier natronowy, gramatura 130 g/m2"
92,"Koperta B4 + o wymiarach 255 x 390 x 40 mm , biala, z rozszerzanymi bokami, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 150 g/m2"
93,"Koperta B5 o wymiarach 175 x 250 mm , biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 90 g/m2"
94,"Koperta C4 o wymiarach 229 x 324 mm , biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 90 g/m2"
95,"Koperta C4 + o wymiarach 229 x 324 x 38 mm, biala, samoklejaca, z rozszerzanymi bokami, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 150 g/m2"
96,"Koperta C5 o wymiarach 162 x 229 mm , biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 70 g/m2"
97,"Koperta C5 z okienkiem o wymiarach 162 x 229 mm , biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, okno w prawej dolnej krawedzi, papier offsetowy, gramatura 90g/m2"
98,"Koperta C6 o wymiarach 114x162 mm , biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 75g/m2"
99,"Koperta DL o wymiarach 110 x 220 mm biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 75 - 80 g/m2"
100,"Koperta E4+ o wymiarach 300 x 458 x 40 mm , biala, samoklejaca, z rozszerzonymi bokami, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 150 g/m2"
101,"Koperta M65DL o wymiarach 110 x 220 mm , biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, papier offsetowy, gramatura 75 - 80 g/m2"
102,"Koperta M65DL z okienkiem o wymiarach 110 x 220 mm , biala, samoklejaca, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu, okno w prawej dolnej krawedzi, papier offsetowy, gramatura 75 - 80 a/m2."
103,"Koperta z zabezpieczeniem powietrznym C/13, o wymiarach 150 x 215 mm, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
104,"Koperta z zabezpieczeniem powietrznym E/15, o wymiarach 220 x 265 mm, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
105,"Koperta z zabezpieczeniem powietrznym F/16, o wymiarach 220 x 340 mm, biala, klejona na krótszym boku, papier uzyty do produkcji kopert nie moze pochodzic z recyklingu"
